Date,london_price_Detached,london_price_Semi Detached,london_price_Terraced,london_price_Flat,london_index_Detached,london_index_Semi Detached,london_index_Terraced,london_index_Flat,uk_price_Detached,uk_price_Semi Detached,uk_price_Terraced,uk_price_Flat,uk_index_Detached,uk_index_Semi Detached,uk_index_Terraced,uk_index_Flat
1/1/1995,161449,95898,73706,64619,21.7,20.3,18,17.9,-,-,-,-,-,-,-,-
2/1/1995,157449,96084,73757,60359,21.2,20.4,18,16.7,-,-,-,-,-,-,-,-
3/1/1995,156090,94981,73571,64186,21,20.1,18,17.7,-,-,-,-,-,-,-,-
4/1/1995,156932,95193,73990,65099,21.1,20.2,18.1,18,-,-,-,-,-,-,-,-
5/1/1995,158778,96727,75063,65718,21.4,20.5,18.4,18.2,-,-,-,-,-,-,-,-
6/1/1995,158322,96551,74684,66735,21.3,20.5,18.3,18.4,-,-,-,-,-,-,-,-
7/1/1995,161896,97609,75763,65790,21.8,20.7,18.5,18.2,-,-,-,-,-,-,-,-
8/1/1995,160991,97064,75103,65588,21.7,20.6,18.4,18.1,-,-,-,-,-,-,-,-
9/1/1995,159829,96135,74632,65035,21.5,20.4,18.2,18,-,-,-,-,-,-,-,-
10/1/1995,160268,95894,73292,64793,21.6,20.3,17.9,17.9,-,-,-,-,-,-,-,-
11/1/1995,157177,95155,73136,65081,21.1,20.2,17.9,18,-,-,-,-,-,-,-,-
12/1/1995,158799,96433,74254,66029,21.4,20.4,18.2,18.2,-,-,-,-,-,-,-,-
1/1/1996,159926,96393,74754,65870,21.5,20.4,18.3,18.2,-,-,-,-,-,-,-,-
2/1/1996,159662,97498,75122,66992,21.5,20.7,18.4,18.5,-,-,-,-,-,-,-,-
3/1/1996,161107,97079,75029,66097,21.7,20.6,18.3,18.3,-,-,-,-,-,-,-,-
4/1/1996,160304,97381,75761,68172,21.6,20.6,18.5,18.8,-,-,-,-,-,-,-,-
5/1/1996,160540,98333,76984,67630,21.6,20.8,18.8,18.7,-,-,-,-,-,-,-,-
6/1/1996,163374,99096,76944,69564,22,21,18.8,19.2,-,-,-,-,-,-,-,-
7/1/1996,167042,100384,77796,69523,22.5,21.3,19,19.2,-,-,-,-,-,-,-,-
8/1/1996,168725,101125,78590,68901,22.7,21.4,19.2,19,-,-,-,-,-,-,-,-
9/1/1996,169961,101873,78910,69975,22.9,21.6,19.3,19.3,-,-,-,-,-,-,-,-
10/1/1996,171030,101781,78586,69598,23,21.6,19.2,19.2,-,-,-,-,-,-,-,-
11/1/1996,168697,102161,79649,70450,22.7,21.6,19.5,19.5,-,-,-,-,-,-,-,-
12/1/1996,171030,104399,80634,71374,23,22.1,19.7,19.7,-,-,-,-,-,-,-,-
1/1/1997,176010,105732,82195,73141,23.7,22.4,20.1,20.2,-,-,-,-,-,-,-,-
2/1/1997,176433,105446,82178,74410,23.7,22.3,20.1,20.6,-,-,-,-,-,-,-,-
